index,set,topic,user_prompt,credit_hours,catalog_year,degree_major_concentration,should_retrieve_semantic_courses,should_retrieve_semantic_programs,should_request_semantic_support_resources,should_retrieve_current_major,should_retrieve_current_major_sample_schedule,should_retrieve_current_major_courses,should_ask_planned_student_schedule,should_ask_completed_courses,should_ask_student_interests,should_refer_to_class_schedule,should_refer_to_advisor,provide_generic_advice,generated_response,generation_response_grade,response_failure_reason,planning_time,retrieval_time,generation_time,planning_attempts,analytical_summary,information_requests,actually_requested_semantic_courses,actually_requested_semantic_programs,actually_requested_semantic_support_resources,actually_requested_current_major,actually_requested_current_major_sample_schedules,errors_semantic_courses,errors_semantic_programs,errors_semantic_support_resources,errors_current_major,errors_current_major_sample_schedules
1,generic_1,Academic Planning & Course Selection,Which courses should I prioritize for next semester to stay on track for graduation?,Up to 29,2023-2024,"BSCPE Computer Engineering, Machine Learning Concentration",0,0,0,1,1,1,0,1,?,1,1,?,"Since you’re pursuing a B.S. in Computer Engineering with a Machine Learning concentration and currently have earned up to 29 credit hours, you're likely in the early stages of your degree. To stay on track for graduation, you should focus on completing foundational first- and second-year courses required for your major. Here are the next steps you should consider:

### 1. **Complete Remaining Pre-Major Courses**
   If you haven’t completed all Pre-Major courses (14 credit hours), prioritize these:
   - **MATH 1241** - Calculus I (if not completed)
   - **MATH 1242** - Calculus II
   - **PHYS 2101** - Physics for Science and Engineering I
   - **PHYS 2101L** - Physics Lab I
   - **ENGR 1201** and **ENGR 1202** - Intro to Engineering courses

   Completing these earns you prerequisites for major-level courses and ensures you're on track to meet program progression requirements.

### 2. **Begin Related Courses**
   Many of the following courses are prerequisites for upper-level Computer Engineering courses, so completing them early is critical:
   - **MATH 2164** - Matrices and Linear Algebra
   - **MATH 2171** - Differential Equations
   - **STAT 3128** - Probability and Statistics for Engineers
   - **PHYS 2102** - Physics for Science and Engineering II (and lab, **PHYS 2102L**)

### 3. **Start Taking Early Major Courses**
   Once pre-major courses are completed, shift your focus to the following foundational computer engineering courses:
   - **ECGR 2103** - Computer Utilization in C++
   - **ECGR 2104** - Computer Engineering Programming II
   - **ECGR 2111** - Network Theory I
   - **ECGR 2161** - Basic Electrical Engineering I  

   These courses are prerequisites for higher-level Machine Learning classes, so the sooner you complete them, the earlier you can progress to core and concentration-specific courses.

### 4. **Plan for General Education Requirements**
   Don’t neglect general education courses. If you have room in your schedule, include courses that satisfy university general education requirements. These typically include introductory writing, humanities, and social science courses. Completing these alongside your major courses helps you avoid overloading in your later years.

---

It’s strongly recommended that you meet with your academic advisor to confirm which specific courses you should take based on your progress and verify prerequisites. Your advisor can also help you sequence the courses appropriately while balancing your workload. If you'd like, I can help you prepare questions to ask your advisor! Let me know.",1,,2.962875843,1.766778946,6.270181656,1,The user is seeking guidance on selecting courses for the upcoming semester in order to stay on track for graduation in their declared degree program: BSCPE Computer Engineering with a Machine Learning Concentration. The user has earned up to 29 credits and wishes to ensure their course selections align with their program requirements and progression toward graduation.,"<Specific_Request_Current_Major> </Specific_Request_Current_Major>  
<Specific_Request_Current_Major_Sample_Schedules> </Specific_Request_Current_Major_Sample_Schedules>  
<Semantic_Request_Courses> Semantic search for core and concentration-related courses in the BSCPE Computer Engineering program with a Machine Learning Concentration, for the 2023-2024 catalog year. Include details about prerequisites, co-requisites, and sequence recommendations for courses within the degree program. </Semantic_Request_Courses>",1,0,0,1,1,fp,tn,tn,tp,tp
2,generic_1,Academic Planning & Course Selection,Are there any prerequisite chains I should be aware of that could delay my graduation?,Up to 29,2024-2025,BSME Mechanical Engineering,0,0,0,1,?,1,0,1,0,?,1,?,"Yes, there are several prerequisite chains in the **Mechanical Engineering B.S.M.E. program** that can impact your graduation timeline if not carefully planned. Mechanical Engineering is a structured and sequential program, meaning many courses depend on specific prerequisites. Here are key areas to watch for:

### 1. **Mathematics Sequence**
   - **MATH 1241 (Calculus I)** → **MATH 1242 (Calculus II)** → **MATH 2241 (Calculus III)** → **MATH 2171 (Differential Equations)**  
   - These courses form the foundation of the engineering curriculum. Any delays in completing this sequence will affect your ability to take core engineering courses, such as **PHYS 2101**, **MEGR 2141**, and other upper-level courses.

---

### 2. **Physics Sequence**
   - **PHYS 2101 (Physics for Science and Engineering I)** → **PHYS 2102 (Physics for Science and Engineering II)**  
   - Both are prerequisites for several engineering courses like **ENGR 1202**, **MEGR 2141**, and **MEGR 3111 (Thermodynamics I)**. Completing **Calculus I** is required for **PHYS 2101**, so it's critical to start math early.

---

### 3. **Core Engineering Courses**
   - Many sophomore-level courses have prerequisites, creating chains that need to be followed carefully:
     - **ENGR 1201 → ENGR 1202 → MEGR 2141 → MEGR 2156**
     - **MEGR 2141 (Engineering Mechanics I)** → **MEGR 2144 (Introduction to Solid Mechanics)** → **MEGR 3152 (Mechanics and Materials Lab)**  
       *Missing one course in this chain can delay several others.*
     - **MEGR 3111 (Thermodynamics I)** → **MEGR 3112 (Thermodynamics II)**  

---

### 4. **Laboratory and Design Courses**
   - **MEGR 2156 (Design Projects I)** is a prerequisite for many upper-level design and lab courses:
     - **MEGR 3156, MEGR 3255 (Senior Design I)**  
   - You’ll need these senior design courses for graduation. Delaying **MEGR 2156** can push back your capstone sequence.

---

### 5. **Concentrations and Technical Electives**
   - If you’re pursuing a concentration (e.g., Biomedical, Energy), specific prerequisites apply:
     - Example: For **Senior Design I** courses like **MEGR 3275 (Biomedical Engineering Senior Design I)** or **MEGR 3455 (Energy Senior Design I)**, you'll need to have completed concentration-specific courses beforehand.
   - Plan these electives and prerequisites early based on your concentration or career goals.

---

### 6. **Two-Attempt Rule**
   - You only have **two attempts** per course (including withdrawals), and you must pass critical courses with a **C or better** (e.g., **MEGR 2141, MEGR 2156, MEGR 3171L**). Failing to meet this rule can also cause delays.

---

### Tips to Avoid Delays:
   - Meet regularly with your **academic advisor** to ensure you’re staying on track.
   - Use your degree audit to verify that you’ve met prerequisites and identify gaps early.
   - Take advantage of summer sessions if you fall behind in math, physics, or foundational courses.
   - Don’t overload yourself; falling behind in key prerequisites can affect your ability to progress through the major.

Would you like to review your current course sequence or plan? I’d be happy to help clarify or suggest adjustments!",1,,3.088963032,0.649264812,9.29611063,1,"The student is asking about prerequisite chains in their BSME Mechanical Engineering program for the 2024-2025 catalog year. Specifically, they want to understand if there are any course sequences that could potentially delay their graduation if not taken in order or on time. They are concerned with course planning and ensuring efficient progress within their major.","<Specific_Request_Current_Major>  </Specific_Request_Current_Major>  
<Specific_Request_Current_Major_Sample_Schedules>  </Specific_Request_Current_Major_Sample_Schedules>  
<Semantic_Request_Courses> The student is seeking detailed information about prerequisite and corequisite chains in their BSME Mechanical Engineering program for the 2024-2025 catalog year. Focus on key foundational or sequential courses that could impact graduation timing, including their prerequisites and typical semester offerings. Mention critical sequences or bottlenecks. </Semantic_Request_Courses>",1,0,0,1,1,fp,tn,tn,tp,opt-yes
3,generic_1,Academic Planning & Course Selection,What's the recommended sequence for my remaining core ME courses?,90 to 119,2021-2022,"BSEE Electrical Engineering, Power and Energy Systems Concentration",0,0,0,?,1,?,0,1,0,0,1,?,"Since you're a senior with 90-119 credit hours in the **BSEE Electrical Engineering, Power and Energy Systems Concentration** and operating under the 2021-2022 catalog, your remaining course sequence depends on your completed requirements and prerequisites for core courses. Here’s a general recommended guideline:

### 1. **Check the Prerequisite Flow**  
Your core Mechanical Engineering (ME) courses and senior-level electives typically follow a structured path to ensure prerequisite requirements are met. Examples:
   - Courses like **Thermodynamics II (MEGR 3112)** have a prerequisite of Thermodynamics I.
   - If a **Senior Design Capstone** is part of your program, ensure all its prerequisites are completed prior to enrolling.

### 2. **Recommended Order**
   Based on general course structures:
   - **Thermodynamic/Heat Transfer Core:**
     - Complete any remaining Thermodynamics courses (e.g., **MEGR 3112**).
     - **Heat Transfer or Energy Concentration Required Courses** (these often build on Thermodynamics or similar).
   - **Specialized Energy/Power Systems Courses:**
     Take courses focusing on energy, electrical power systems, or renewables that align with your Power and Energy concentration (e.g., **ELET 3141, ETEL 3231**, or related).
   - **Senior Design:**
     - If your program includes a two-semester capstone design experience (e.g., **MEGR 3455 & MEGR 3456**), ensure those are planned in consecutive semesters during your remaining studies.

### 3. **Technical Electives**
   - Select technical electives that meet program requirements and align with your career interests (e.g., **MEGR 4094 – Special Topics in Energy Engineering** or **AEEE 4250 – Analysis of Renewable Energy Systems**).

### 4. **Speak with Your Advisor**
It’s crucial to verify your remaining requirements with your academic advisor or your degree audit. Course availability and prerequisites can vary, so your advisor will ensure you’re on track to complete all requirements in a timely manner.

Would you like to explore possible electives or senior design options in more detail? Let me know!",1,,2.542449713,0.802118301,5.869545698,1,"The user is asking for the recommended course sequence for their remaining core Mechanical Engineering (ME) courses. Although they are in the BSEE Electrical Engineering program with a concentration in Power and Energy Systems, the mention of ""core ME courses"" might indicate either a miscommunication or a genuine need to address overlap or electives they need to fulfill. Their intent is to understand the sequencing of specific courses within their curriculum.","<Specific_Request_Current_Major_Sample_Schedules></Specific_Request_Current_Major_Sample_Schedules>
<Semantic_Request_Courses>Identify core Mechanical Engineering courses or equivalent courses offered in the BSEE Electrical Engineering program, particularly those that might overlap or be relevant to the Power and Energy Systems concentration, such as thermodynamics, materials, or mechanics of materials. Include prerequisites and sequencing considerations. </Semantic_Request_Courses>",1,0,0,0,1,fp,tn,tn,opt-no,tp
4,generic_1,Academic Planning & Course Selection,Should I take any courses over the summer to lighten my regular semester load?,Up to 29,2025-2026,BS Environmental Engineering,0,0,0,1,1,?,?,?,?,1,?,?,"Taking courses over the summer can be a great way to make your regular semester workload more manageable, especially since you're just starting your academic journey with up to 29 credit hours completed. Here are a few things to consider:

### Potential Benefits:
1. **Lighter Semester Workload:** Summer courses allow you to spread out your credit hours, which can help you focus more on tough classes during the fall/spring semesters.
2. **Prerequisite Planning:** If there are courses required as prerequisites for upper-division or major-specific classes, summer is a great opportunity to knock them out.
3. **Graduation Timeline:** Taking summer courses can help you stay on track (or even ahead) if you’re working toward graduating in four years.

### Things to Keep in Mind:
1. **Course Availability:** Check whether the courses you need are offered during the summer sessions. 
2. **Difficulty of Courses:** If you're considering a challenging course, the accelerated pace of summer classes may be something to factor in.
3. **Balance:** Summer is also a great time to rest and recharge. Think about what schedule works best for your academic and personal life balance.

### What to Do Next:
- Look at the suggested course sequence for your program (BS in Environmental Engineering). Are there classes in the 2025–2026 catalog that could fit into your summer plans or fulfill prerequisites for the next semester?
- Speak with your academic advisor to map out which courses to prioritize over the summer, and ensure it aligns with your graduation plan.
- If you’re looking at General Education courses, summer can be a great time for those as well!

If you’d like more help reviewing your program’s course sequencing, feel free to ask!",1,,2.668789864,0.000280142,5.226233244,1,The user wants guidance on whether they should take summer courses to reduce their course load during regular semesters. The user's intent is related to planning and optimizing their academic schedule for their BS Environmental Engineering program within their catalog year (2025-2026). They are seeking advice specific to their program's requirements and course progression.,"<Specific_Request_Current_Major_Sample_Schedules></Specific_Request_Current_Major_Sample_Schedules>  
<Semantic_Request_Support_Resources>Provide information about advising resources or personnel who can help students make decisions about summer courses and academic planning. Include terms like ""summer term advising,"" ""academic planning,"" and ""Environmental Engineering scheduling advice.""</Semantic_Request_Support_Resources>",0,0,1,0,1,tn,tn,fp,fn,tp
5,generic_1,Academic Planning & Course Selection,Which electives would best complement my career interests?,Up to 29,2025-2026,BSME Mechanical Engineering,0,0,0,1,?,?,0,?,1,0,?,?,"That’s a great question! The best electives for you will depend on your specific career interests within mechanical engineering. Here are a few suggestions based on popular career paths within the field:

---

### **1. Automotive Engineering**
If you’re interested in designing or working with vehicles, consider:
- **MEGR 3210 - Automotive Power Plants**
- **MEGR 3211 - Road Vehicle Dynamics**
- **MEGR 3242 - Applied Vehicle Aerodynamics**
- **MEGR 3244 - Tire Mechanics**
- **MEGR 4240 - Advanced Automotive Powerplants**

---

### **2. Aerospace/Flight Engineering**
For a focus on aircraft or aerospace systems, take:
- **MEGR 3310 - Flight Mechanics**
- **MEGR 4310 - Uncrewed Aerial Vehicles**
- **MEGR 4311 - Aerospace Materials**
- **MEGR 4312 - Aerospace Propulsion**

---

### **3. Energy and Sustainability**
If you’re motivated by renewable energy or sustainable systems:
- **MEGR 3261 - Sustainable Energy**
- **MEGR 3262 - Turbomachinery**
- **MEGR 3245 - Advanced Experimental Methods**  
- **MEGR 3260 - Clean Coal Technology**

---

### **4. Biomedical Engineering**
For careers in healthcare technologies, prosthetics, or fluidics:
- **MEGR 3233 - Introduction to Biomaterials**
- **MEGR 3234 - Introduction to Biodynamics**
- **MEGR 3270 - Biomedical Fluidics: Microfluidics**
- **MEGR 4271 - Orthopedic Biomechanics**
- **MEGR 4274 - Bioelectronic Medicine**

---

### **5. Manufacturing and Robotics**
For a career in robotics, automation, or advanced manufacturing:
- **MEGR 4127 - Introduction to Robotics**
- **MEGR 3231 - Advanced CAD/CAM**
- **MEGR 3271 - Biomedical Manufacturing: 3D Biofabrication**
- **MEGR 4280 - Advanced Manufacturing Processes**

---

### **6. Materials Science/Engineering**
If you’re interested in working with advanced materials:
- **MEGR 3162 - Mechanical Behavior and Strengthening of Solids**
- **MEGR 3232 - Plastic Part Design**
- **MEGR 4272 - Introduction to Bio-Polymers and Composites**

---

### **7. Research and Development**
For students who may pursue graduate school or innovative projects:
- **MEGR 3225 - Introduction to Finite Element Analysis**
- **MEGR 4090/4091 - Special Topics in Mechanical or Aerospace Engineering**  
- **MEGR 3282 - Statistical Process Control and Metrology**

---

### **What To Do Next**
To make the most informed decision, I recommend:
1. Reflecting on your long-term career aspirations.
2. Speaking with your academic advisor. They can provide personalized guidance and may have suggestions based on industry demand or faculty expertise.
3. Discussing options with professors or professionals in your field of interest to understand how electives align with career goals.

If you’d like to explore additional career paths or need help narrowing down these options, feel free to share more details!",1,,1.768797398,0.000376463,7.176547289,1,"The user is asking for recommendations on electives that would best align with their career interests. They are seeking guidance to optimize their elective choices in line with their professional aspirations, likely within the context of their BSME Mechanical Engineering program.","<Specific_Request_Current_Major> </Specific_Request_Current_Major>  
<Semantic_Request_Support_Resources> Suggest resources or advising services that assist students in identifying electives aligned with career interests within the BSME Mechanical Engineering program. Include any specific resources like career advisors or faculty mentors. </Semantic_Request_Support_Resources>",0,0,1,1,0,tn,tn,fp,tp,opt-no
6,generic_1,Academic Planning & Course Selection,Are there any particularly challenging course combinations I should avoid taking together?,None yet!,2025-2026,BS Dual Degree Physics and Mechanical Engineering,0,0,0,1,?,1,?,?,0,0,1,?,"Great question! Balancing your course load is an important part of academic success—especially with a demanding program like the BS Dual Degree in Physics and Mechanical Engineering. While every student's experience may vary, there are some general strategies to avoid overwhelming combinations:

### 1. **Avoid Multiple Heavy Lab Courses in the Same Semester**
   Physics and engineering programs often include intensive lab courses. These labs typically demand significant time for preparation, attendance, and post-lab analysis, which can quickly dominate your schedule. Try to balance lab courses with lecture-based or less time-intensive classes.

### 2. **Spread Out Math-Intensive Courses**
   Both physics and mechanical engineering make use of advanced math, like calculus and differential equations. Taking multiple math-heavy courses in the same semester (e.g., Engineering Dynamics, Thermodynamics, and Electromagnetism) can be overwhelming. Try to distribute these courses across different semesters.

### 3. **Watch for Capstone or Senior Design Overlap**
   When you approach your final years, be mindful of senior-level courses like a capstone project or senior design in engineering. These courses require significant collaboration, long-term planning, and presentations, which can interfere with the rigorous demands of other high-level coursework.

### 4. **Balance Theory with Application**
   Courses in your program may focus differently on theoretical concepts (like Quantum Mechanics) versus applied skills (like CAD or Fluid Mechanics). Mixing these types can help keep your workload manageable and better rounded.

### 5. **Consider General Education Timing**
   Don’t overlook general education courses! While they may seem easier or unrelated to your major, bundling too many technical courses together and pushing general education requirements later isn’t always ideal. Plan to mix in general education courses for a change of pace.

### Suggestions to Help Plan:
   - **Review your program map:** If course sequences or sample plans are available, use them to help guide your semester schedules.
   - **Meet with your advisor regularly:** Since your program spans two disciplines, your advisor can help ensure you're on track and not overscheduled in any one semester.
   - **Check prerequisites early:** Some courses have prerequisites that need to be taken in specific order, so mapping this out early can prevent scheduling conflicts.

If you have specific courses in mind, feel free to share them, and I can provide more advice!",1,,5.287035942,0.000228167,6.499635696,1,"The user is asking for guidance on course planning within the BS Dual Degree Physics and Mechanical Engineering program for the 2025-2026 catalog year. Specifically, they are inquiring about particularly challenging combinations of courses to avoid taking together, likely to better manage their workload and academic success.","<Specific_Request_Current_Major_Sample_Schedules></Specific_Request_Current_Major_Sample_Schedules><Semantic_Request_Support_Resources>Request information about advising resources and academic support to assist students in planning their course combinations effectively and managing workload. Relevant keywords include ""advising,"" ""academic support,"" and ""course planning.""</Semantic_Request_Support_Resources>",0,0,1,0,1,tn,tn,fp,fn,opt-yes
7,generic_1,Academic Planning & Course Selection,"What's the typical credit load for students in my year, and is my planned load reasonable?",30 to 59,2022-2023,"BSME Mechanical Engineering, Motorsports Engineering Concentration",0,0,?,?,1,0,1,0,?,0,1,?,"The typical credit load for students in your year (second year of the **BSME Mechanical Engineering, Motorsports Engineering Concentration**) is usually around **15-18 credit hours per semester** to stay on track for graduation in four years. However, since you’ve earned 30-59 credits, you may need to check whether you’re following your program’s course sequence and meeting prerequisites.

To determine if your planned load is reasonable:

1. **Factor in Your Workload:** A standard course load of 15 credit hours is generally manageable if you don’t have significant time commitments outside school. Taking more than 15 may require careful time management.

2. **Consider Prerequisites:** Ensure your planned courses align with the recommended degree flow (e.g., completing mathematics, physics, and engineering requirements in order).

3. **Check Balance:** Balance courses between demanding ones (e.g., engineering or motorsports labs) and those with lighter workloads to prevent burnout.

I recommend reviewing your flowchart or degree progression plan, which outlines the course sequence for your program. If you’re unsure, scheduling a meeting with your academic advisor can help confirm whether your planned credit load will keep you on track.

Would you like guidance on balancing a specific set of courses you're planning to take? Let me know!",1,,1.578796148,0.001311064,3.525809765,1,"The user is asking about the typical credit load for students in their catalog year and whether their planned credit load aligns with program expectations. They are seeking guidance to ensure their course schedule is reasonable and manageable in the context of their academic trajectory in the BSME Mechanical Engineering, Motorsports Engineering Concentration.","<Specific_Request_Current_Major_Sample_Schedules>  
</Specific_Request_Current_Major_Sample_Schedules>",0,0,0,0,1,tn,tn,opt-no,opt-no,tp
8,generic_1,Academic Planning & Course Selection,Are there any new courses being offered that might be relevant to my interests?,150 or more,2022-2023,"BSEE Electrical Engineering, Machine Learning Concentration",0,0,0,?,0,?,0,0,?,1,?,?,"Based on your program (BSEE in Electrical Engineering with a Machine Learning concentration), the following courses listed in the catalog may align well with your interests. Several seem to focus on machine learning, artificial intelligence, and emerging technologies:

1. **ECGR 4105 - Introduction to Machine Learning**  
   This foundational course is likely already required for your concentration, but it's essential as it covers supervised/unsupervised learning, optimization, and deep learning.

2. **ECGR 4127 - Machine Learning for the Internet of Things**  
   Prerequisite: ECGR 4105. This course focuses on deploying machine learning models in IoT devices with limited resources, making it highly relevant to edge and embedded systems.

3. **ECGR 4106 - Real-Time Machine Learning**  
   Prerequisite: ECGR 3101 or ECGR 3111. Focuses on real-time inference using tools like PyTorch and TensorFlow, with an emphasis on practical applications of neural networks.

4. **ECGR 4117 - AI for Robotics and Automation**  
   Prerequisite: ECGR 3101 or ECGR 3111. Explores the use of machine learning for autonomous systems, including robotic applications, with connections to deep learning implementations.

5. **ECGR 4116 - Artificial Intelligence for Biomedical Applications**  
   Prerequisite: ECGR 4105. If you’re interested in healthcare applications, this course introduces AI concepts applied specifically to biomedical challenges, including medical image processing.

6. **ECGR 4103 - Machine Vision, AI, and Image Processing**  
   Prerequisite: ECGR 3111. Covers computer vision and machine learning techniques for image processing, with practical societal applications.

These courses represent detailed explorations into machine learning and AI applications and may help deepen your knowledge while diversifying the real-world contexts in which you can apply these skills.

Would you like to dive deeper into any of these courses, or should I assist in clarifying their prerequisites or degree applicability? Additionally, speaking with your academic advisor to determine how these may fit into your degree plan and career goals is highly recommended! ",1,,2.253627062,0.850618601,4.544624567,1,"The user is inquiring about new courses that could be relevant to their interests, which are likely aligned with their degree program: a Bachelor of Science in Electrical Engineering with a Machine Learning Concentration. The user may be seeking innovative or recently introduced courses specific to electrical engineering, machine learning, or related interdisciplinary fields.","<Semantic_Request_Courses>Search for recently introduced courses (or those flagged as new offerings) in the catalog that are relevant to Electrical Engineering, Machine Learning, or interdisciplinary fields overlapping with these domains. Include course names, codes, descriptions, and prerequisites. Keywords: ""new courses,"" ""Electrical Engineering,"" ""Machine Learning."" </Semantic_Request_Courses>",1,0,0,0,0,fp,tn,tn,opt-no,tn
9,generic_1,Graduation Timeline & Requirements,"Based on my current progress, what's my realistic earliest graduation date?",30 to 59,2025-2026,"BSEE Electrical Engineering, Machine Learning Concentration",0,0,0,1,1,1,1,1,0,0,1,?,"To estimate your earliest graduation date, we need to consider a few factors:

1. **Credit Hours Remaining:**  
   The Bachelor of Science in Electrical Engineering (BSEE) typically requires **120 credit hours** to graduate (though confirm this based on your program’s specific requirements for your catalog year). Since you’ve earned between **30 to 59 credits**, let’s assume you have approximately **61 to 90 credits** remaining.

2. **Course Load Per Semester:**  
   If you’re taking a **full-time course load** of 15 credit hours per semester (a common load to graduate in a timely manner), you could potentially complete roughly **30 credit hours per academic year (fall + spring)**. Summer courses could allow you to complete even more.

3. **Prerequisite Chains and Course Offerings:**  
   Engineering programs are typically structured with prerequisite chains, meaning some courses must be taken in sequence. Additionally, not every course may be offered every term, so you’ll need to plan carefully. Your Machine Learning Concentration courses could also add specific requirements that may extend your timeline if not sequenced properly. 

4. **Other Considerations:**  
   If you’re participating in internships, co-ops, or research opportunities, these may impact the number of credits you can take each term, potentially delaying graduation. However, these can build professional experience that’s incredibly valuable.

### Example Graduation Timeline:
- If you need **90 credits** and maintain 15 credits per semester (plus summer courses), you could realistically graduate in **3 years** (around **Spring 2026**).
- If you need closer to **61 credits**, a more aggressive plan with similar course loads could allow for graduation in **2 years** (around **Spring 2025**).

---

### Next Steps:
- **Recommendation:** Meet with your academic advisor to create a detailed degree plan. They can confirm your remaining requirements and ensure you’re on track to meet prerequisites and graduation goals.  
- If you haven’t already, consider summer courses or higher course loads to accelerate your timeline. Remember to balance your workload to maintain good academic and personal well-being!",0,error in retrieval,1.462603569,0.000324488,5.238623619,1,The user wants to determine their earliest realistic graduation date based on their current progress in the BSEE Electrical Engineering program with a Machine Learning Concentration. This involves understanding the remaining credit or course requirements specific to their catalog year (2025-2026) and how quickly those can be completed. Scheduling considerations such as required prerequisites and class availability may also be relevant to address the query.,"<Specific_Request_Current_Major/>
<Specific_Request_Current_Major_Sample_Schedules/>",0,0,0,0,0,tn,tn,tn,fn,fn
10,generic_1,Graduation Timeline & Requirements,Am I on track to meet all degree requirements by my target graduation date?,60 to 89,2022-2023,BSME Mechanical Engineering,0,0,0,1,1,?,1,1,0,1,1,?,"It’s great that you’re thinking about staying on track for graduation! Based on the details provided (your enrollment in the BSME program with 60–89 credit hours completed and the 2022-2023 catalog year), here's a general outline of how to assess your progress:

1. **Credit Hours Total**:
   - You need **120 credit hours** to graduate. 
   - If you’ve earned around 60–89 credit hours, you’re about halfway through, which can be on track depending on your target graduation date and course load per semester.

2. **Core Requirements**:
   - Ensure you’ve completed (or are enrolled in) **General Education courses** (18–19 credit hours).
   - Confirm completion of required **Foundation Courses** (24 credit hours), such as Calculus I–III, Physics with Lab, Chemistry with Lab, and Differential Equations.
   - Stay on track with the **Major Courses**, which total 57 credit hours. By now, you should have likely taken prerequisite and sophomore-level mechanical engineering courses like MEGR 2141 (Engineering Mechanics I) and possibly some Junior-level coursework (e.g., Thermodynamics I).

3. **Restricted Electives**:
   - You’ll need 21 credit hours of electives:
     - Design elective (3 hours) like MEGR 3216 or MEGR 3221.
     - Science elective (3 hours) like BIOL 1110 or CHEM 1252.
     - Math elective (3 hours) such as STAT 3128 or a combined option with an elective like MEGR 3282 + MATH 2164/3171.
     - Technical electives (12 hours, with at least 3 MEGR courses).
   - **If you haven’t started registering for electives** yet, consider when you’ll complete these requirements, as they are often taken in your Junior or Senior years.

4. **Progression Requirements**:
   - Ensure you’re maintaining minimum **GPA requirements**:
     - Overall GPA of **2.0.**
     - Major GPA of **2.0** in MEGR courses.
   - All courses need to be passed in **two attempts, including withdrawals**.
   - Double-check with your advisor that you’re meeting all sophomore/junior progression requirements for advancing within the program.

5. **Plan Completion**:
   - If you’re aiming to graduate in a certain number of semesters, divide the remaining credit hours into those terms. For example:
     - If 60 hours remain and your target is four more semesters, plan for 15 credits per semester.
     - Some courses (especially Major or Elective courses) require prerequisites, which may impact your timeline. Review degree maps or meet with your advisor to confirm the order of required courses.

### Next Steps:
To be absolutely sure that you’re on track:
   - **Run a Degree Audit** through your university’s system (e.g., DegreeWorks, if your institution uses it).
   - Schedule a meeting with your academic advisor. They’ll validate your plan, help arrange course sequencing for remaining requirements, and ensure you’re ready for graduation.

Let me know if you want help understanding specific course requirements or planning your semesters! 😊",1,,1.927614927,0.000397205,7.896080732,1,"The user is asking for guidance on whether they are on track to meet all degree requirements for their BSME Mechanical Engineering program by their target graduation date. The user is likely seeking an evaluation of their progress in terms of credit hours, completed coursework, and remaining requirements within their catalog year (2022-2023).","<Specific_Request_Current_Major> Request information about the student's current degree program, including requirements, courses, and other relevant details, for the student's catalog year. </Specific_Request_Current_Major>
<Specific_Request_Current_Major_Sample_Schedules> Request example schedules for the student's major and catalog year.  Request this when the user prompt is about scheduling courses or planning a semester or to understand how the program usually flows. </Specific_Request_Current_Major_Sample_Schedules>",0,0,0,1,1,tn,tn,tn,tp,tp
