catalog_year,type,proper_name,file_name,degree_major,concentration,url
2021-2022,major,"Civil Engineering, B.S.C.E. ",BSCE Civil Engineering,BSCE Civil Engineering,,https://catalog.charlotte.edu/preview_program.php?catoid=29&poid=7545
2021-2022,major,"Civil Engineering, Energy Infrastructure Concentration, B.S.C.E.  ","BSCE Civil Engineering, Energy Infrastructure Concentration",BSCE Civil Engineering,Energy Infrastructure,https://catalog.charlotte.edu/preview_program.php?catoid=29&poid=7546
2021-2022,major,"Civil Engineering, Land Development Engineering Concentration, B.S.C.E.  ","BSCE Civil Engineering, Land Development Engineering Concentration",BSCE Civil Engineering,Land Development Engineering,https://catalog.charlotte.edu/preview_program.php?catoid=29&poid=7719
2021-2022,major,"Computer Engineering, B.S.CP.E. ",BSCPE Computer Engineering,BSCPE Computer Engineering,,https://catalog.charlotte.edu/preview_program.php?catoid=29&poid=7549
2021-2022,major,"Computer Engineering, Machine Learning Concentration, B.S.CP.E.  ","BSCPE Computer Engineering, Machine Learning Concentration",BSCPE Computer Engineering,Machine Learning,https://catalog.charlotte.edu/preview_program.php?catoid=29&poid=8304
2021-2022,major,"Physics and Computer Engineering, B.S. Dual Degree ",BS Dual Degree Physics and Computer Engineering,BS Dual Degree Physics and Computer Engineering,,https://catalog.charlotte.edu/preview_program.php?catoid=29&poid=7662
2021-2022,major,"Electrical Engineering, B.S.E.E. ",BSEE Electrical Engineering,BSEE Electrical Engineering,,https://catalog.charlotte.edu/preview_program.php?catoid=29&poid=7547
2021-2022,major,"Electrical Engineering, Machine Learning Concentration, B.S.E.E. ","BSEE Electrical Engineering, Machine Learning Concentration",BSEE Electrical Engineering,Machine Learning,https://catalog.charlotte.edu/preview_program.php?catoid=29&poid=8305
2021-2022,major,"Electrical Engineering, Power and Energy Systems Concentration, B.S.E.E. ","BSEE Electrical Engineering, Power and Energy Systems Concentration",BSEE Electrical Engineering,Power and Energy Systems,https://catalog.charlotte.edu/preview_program.php?catoid=29&poid=7548
2021-2022,major,"Physics and Electrical Engineering, B.S. Dual Degree ",BS Dual Degree Physics and Electrical Engineering,BS Dual Degree Physics and Electrical Engineering,,https://catalog.charlotte.edu/preview_program.php?catoid=29&poid=7661
2021-2022,major,"Mechanical Engineering, B.S.M.E. ",BSME Mechanical Engineering,BSME Mechanical Engineering,,https://catalog.charlotte.edu/preview_program.php?catoid=29&poid=7558
2021-2022,major,"Mechanical Engineering, Biomedical Engineering Concentration, B.S.M.E. ","BSME Mechanical Engineering, Biomedical Engineering Concentration",BSME Mechanical Engineering,Biomedical Engineering,https://catalog.charlotte.edu/preview_program.php?catoid=29&poid=7690
2021-2022,major,"Mechanical Engineering, Energy Engineering Concentration, B.S.M.E. ","BSME Mechanical Engineering, Energy Engineering Concentration",BSME Mechanical Engineering,Energy Engineering,https://catalog.charlotte.edu/preview_program.php?catoid=29&poid=7559
2021-2022,major,"Mechanical Engineering, Motorsports Engineering Concentration, B.S.M.E. ","BSME Mechanical Engineering, Motorsports Engineering Concentration",BSME Mechanical Engineering,Motorsports Engineering,https://catalog.charlotte.edu/preview_program.php?catoid=29&poid=7560
2021-2022,major,"Physics and Mechanical Engineering, B.S. Dual Degree ",BS Dual Degree Physics and Mechanical Engineering,BS Dual Degree Physics and Mechanical Engineering,,https://catalog.charlotte.edu/preview_program.php?catoid=29&poid=7663
2021-2022,major,"Systems Engineering, B.S.S.E. ",BSSE Systems Engineering,BSSE Systems Engineering,,https://catalog.charlotte.edu/preview_program.php?catoid=29&poid=7561
2021-2022,major,"Systems Engineering, Energy Systems Concentration, B.S.S.E. ","BSSE Systems Engineering, Energy Systems Concentration",BSSE Systems Engineering,Energy Systems,https://catalog.charlotte.edu/preview_program.php?catoid=29&poid=7932
2021-2022,major,"Civil Engineering Technology, B.S.E.T. ",BSET Civil Engineering Technology,BSET Civil Engineering Technology,,https://catalog.charlotte.edu/preview_program.php?catoid=29&poid=7553
2021-2022,major,"Civil Engineering Technology, Applied Energy and Sustainable Systems Concentration, B.S.E.T. ","BSET Civil Engineering Technology, Applied Energy and Sustainable Systems Concentration",BSET Civil Engineering Technology,Applied Energy and Sustainable Systems,https://catalog.charlotte.edu/preview_program.php?catoid=29&poid=7725
2021-2022,major,"Electrical Engineering Technology, B.S.E.T. ",BSET Electrical Engineering Technology,BSET Electrical Engineering Technology,,https://catalog.charlotte.edu/preview_program.php?catoid=29&poid=7554
2021-2022,major,"Electrical Engineering Technology, Applied Energy Concentration, B.S.E.T. ","BSET Electrical Engineering Technology, Applied Energy Concentration",BSET Electrical Engineering Technology,Applied Energy,https://catalog.charlotte.edu/preview_program.php?catoid=29&poid=7726
2021-2022,major,"Electrical Engineering Technology, Electromechanical Systems Concentration, B.S.E.T. ","BSET Electrical Engineering Technology, Electromechanical Systems Concentration",BSET Electrical Engineering Technology,Electromechanical Systems,https://catalog.charlotte.edu/preview_program.php?catoid=29&poid=7981
2021-2022,major,"Fire and Safety Engineering Technology, Fire Protection Concentration, B.S.E.T. ","BSET Fire and Safety Engineering Technology, Fire Protection Concentration",BSET Fire and Safety Engineering Technology,Fire Protection,https://catalog.charlotte.edu/preview_program.php?catoid=29&poid=7555
2021-2022,major,"Fire and Safety Engineering Technology, Fire Safety Concentration, B.S.E.T. ","BSET Fire and Safety Engineering Technology, Fire Safety Concentration",BSET Fire and Safety Engineering Technology,Fire Safety,https://catalog.charlotte.edu/preview_program.php?catoid=29&poid=7556
2021-2022,major,"Fire and Safety Engineering Technology, Occupational Safety Concentration, B.S.E.T. ","BSET Fire and Safety Engineering Technology, Occupational Safety Concentration",BSET Fire and Safety Engineering Technology,Occupational Safety,https://catalog.charlotte.edu/preview_program.php?catoid=29&poid=7948
2021-2022,major,"Mechanical Engineering Technology, B.S.E.T. ",BSET Mechanical Engineering Technology,BSET Mechanical Engineering Technology,,https://catalog.charlotte.edu/preview_program.php?catoid=29&poid=7557
2021-2022,major,"Mechanical Engineering Technology, Applied Energy Concentration, B.S.E.T. ","BSET Mechanical Engineering Technology, Applied Energy Concentration",BSET Mechanical Engineering Technology,Applied Energy,https://catalog.charlotte.edu/preview_program.php?catoid=29&poid=7727
2021-2022,major,"Mechanical Engineering Technology, Electromechanical Systems Concentration, B.S.E.T. ","BSET Mechanical Engineering Technology, Electromechanical Systems Concentration",BSET Mechanical Engineering Technology,Electromechanical Systems,https://catalog.charlotte.edu/preview_program.php?catoid=29&poid=7975
2021-2022,major,"Construction Management, B.S.C.M. ",BSCM Construction Management,BSCM Construction Management,,https://catalog.charlotte.edu/preview_program.php?catoid=29&poid=7552
2021-2022,minor,"Electrical Engineering, Minor ",Minor Electrical Engineering,,,https://catalog.charlotte.edu/preview_program.php?catoid=29&poid=7550
2021-2022,minor,"Computer Engineering, Minor ",Minor Computer Engineering,,,https://catalog.charlotte.edu/preview_program.php?catoid=29&poid=7551
2021-2022,graduate_early_entry,"Civil Engineering, M.S., Early Entry ",MS Civil Engineering Early Entry,,,https://catalog.charlotte.edu/preview_program.php?catoid=29&poid=7678
2021-2022,graduate_early_entry,"Computer Engineering, M.S., Early Entry ",MS Computer Engineering Early Entry,,,https://catalog.charlotte.edu/preview_program.php?catoid=29&poid=8307
2021-2022,graduate_early_entry,"Electrical Engineering, M.S. or Ph.D., Early Entry ",MS or PhD Electrical Engineering Early Entry,,,https://catalog.charlotte.edu/preview_program.php?catoid=29&poid=7679
2021-2022,graduate_early_entry,"Engineering Management, M.S., Early Entry ",MS Engineering Management Early Entry,,,https://catalog.charlotte.edu/preview_program.php?catoid=29&poid=7682
2021-2022,graduate_early_entry,"Fire Protection and Safety Management, M.S., Early Entry ",MS Fire Protection and Safety Management Early Entry,,,https://catalog.charlotte.edu/preview_program.php?catoid=29&poid=7901
2021-2022,graduate_early_entry,"Mechanical Engineering, M.S., Early Entry ",MS Mechanical Engineering Early Entry,,,https://catalog.charlotte.edu/preview_program.php?catoid=29&poid=7681
2021-2022,graduate_early_entry,"Optical Science and Engineering, M.S. or Ph.D., Early Entry ",MS or PhD Optical Science and Engineering Early Entry,,,https://catalog.charlotte.edu/preview_program.php?catoid=29&poid=7766
2021-2022,graduate_early_entry,"Applied Energy and Electromechanical Systems, M.S., Early Entry ",MS Applied Energy and Electromechanical Systems Early Entry,,,https://catalog.charlotte.edu/preview_program.php?catoid=29&poid=7764
2021-2022,college_intro,College of Engineering,College of Engineering,,,https://catalog.charlotte.edu/preview_program.php?catoid=29&poid=7793
2021-2022,dept,Department of Civil and Environmental Engineering,Department of Civil and Environmental Engineering,,,https://catalog.charlotte.edu/preview_entity.php?catoid=29&ent_oid=1500
2021-2022,dept,Department of Eletrical and Computer Engineering,Department of Eletrical and Computer Engineering,,,https://catalog.charlotte.edu/preview_entity.php?catoid=29&ent_oid=1501
2021-2022,dept,Department of Engineering Technology and Construction Management,Department of Engineering Technology and Construction Management,,,https://catalog.charlotte.edu/preview_entity.php?catoid=29&ent_oid=1502
2021-2022,dept,Department of Mechanical Engineering and Engineering Science,Department of Mechanical Engineering and Engineering Science,,,https://catalog.charlotte.edu/preview_entity.php?catoid=29&ent_oid=1503
2021-2022,dept,Department of Systems Engineering and Engineering Management,Department of Systems Engineering and Engineering Management,,,https://catalog.charlotte.edu/preview_entity.php?catoid=29&ent_oid=1504
2021-2022,honors,"Engineering, Honors Program",Engineering Honors Program,,,https://catalog.charlotte.edu/preview_program.php?catoid=29&poid=7722
2022-2023,major,"Civil Engineering, B.S.C.E. ",BSCE Civil Engineering,BSCE Civil Engineering,,https://catalog.charlotte.edu/preview_program.php?catoid=32&poid=8364
2022-2023,major,"Civil Engineering, Energy Infrastructure Concentration, B.S.C.E.  ","BSCE Civil Engineering, Energy Infrastructure Concentration",BSCE Civil Engineering,Energy Infrastructure,https://catalog.charlotte.edu/preview_program.php?catoid=32&poid=8365
2022-2023,major,"Civil Engineering, Land Development Engineering Concentration, B.S.C.E.  ","BSCE Civil Engineering, Land Development Engineering Concentration",BSCE Civil Engineering,Land Development Engineering,https://catalog.charlotte.edu/preview_program.php?catoid=32&poid=8536
2022-2023,major,"Computer Engineering, B.S.CP.E. ",BSCPE Computer Engineering,BSCPE Computer Engineering,,https://catalog.charlotte.edu/preview_program.php?catoid=32&poid=8368
2022-2023,major,"Computer Engineering, Machine Learning Concentration, B.S.CP.E.  ","BSCPE Computer Engineering, Machine Learning Concentration",BSCPE Computer Engineering,Machine Learning,https://catalog.charlotte.edu/preview_program.php?catoid=32&poid=8808
2022-2023,major,"Physics and Computer Engineering, B.S. Dual Degree ",BS Dual Degree Physics and Computer Engineering,BS Dual Degree Physics and Computer Engineering,,https://catalog.charlotte.edu/preview_program.php?catoid=32&poid=8481
2022-2023,major,"Electrical Engineering, B.S.E.E. ",BSEE Electrical Engineering,BSEE Electrical Engineering,,https://catalog.charlotte.edu/preview_program.php?catoid=32&poid=8366
2022-2023,major,"Electrical Engineering, Machine Learning Concentration, B.S.E.E. ","BSEE Electrical Engineering, Machine Learning Concentration",BSEE Electrical Engineering,Machine Learning,https://catalog.charlotte.edu/preview_program.php?catoid=32&poid=8809
2022-2023,major,"Electrical Engineering, Power and Energy Systems Concentration, B.S.E.E. ","BSEE Electrical Engineering, Power and Energy Systems Concentration",BSEE Electrical Engineering,Power and Energy Systems,https://catalog.charlotte.edu/preview_program.php?catoid=32&poid=8367
2022-2023,major,"Physics and Electrical Engineering, B.S. Dual Degree ",BS Dual Degree Physics and Electrical Engineering,BS Dual Degree Physics and Electrical Engineering,,https://catalog.charlotte.edu/preview_program.php?catoid=32&poid=8480
2022-2023,major,"Mechanical Engineering, B.S.M.E. ",BSME Mechanical Engineering,BSME Mechanical Engineering,,https://catalog.charlotte.edu/preview_program.php?catoid=32&poid=8377
2022-2023,major,"Mechanical Engineering, Biomedical Engineering Concentration, B.S.M.E. ","BSME Mechanical Engineering, Biomedical Engineering Concentration",BSME Mechanical Engineering,Biomedical Engineering,https://catalog.charlotte.edu/preview_program.php?catoid=32&poid=8509
